tr_size,set,metric,score,cnt,split,trial,exp
203650,te,y_avg_true,0.8352475015713389,60,0,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,mcc,0.7530086031355854,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,mean_absolute_error,0.043975747021792966,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,median_absolute_error,0.02969087839126588,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,mse,0.004127960134357023,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,pearsonr,0.8998510597235851,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,r2,0.8090805188176573,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,rmse,0.0642492033752717,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,spearmanr,0.8700509217761407,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,y_avg_pred,0.8372291922569275,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,y_avg_true,0.8352475015713389,60,0,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,mcc,0.6932011733928364,60,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,mean_absolute_error,0.042755192263861784,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,median_absolute_error,0.028881019449233988,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,mse,0.003923821224677299,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,pearsonr,0.9050204245641836,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,r2,0.8185220089136493,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,rmse,0.0626404120730164,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,spearmanr,0.8750545708469362,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,y_avg_pred,0.8358210921287537,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,y_avg_true,0.8352475015713389,80,0,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,mcc,0.7076430839594852,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,mean_absolute_error,0.03891772153098804,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,median_absolute_error,0.026142666149139404,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,mse,0.003323472780705655,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,pearsonr,0.9202361490743788,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,r2,0.8462883171436455,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,rmse,0.05764956878161062,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,spearmanr,0.8914743448538838,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,y_avg_pred,0.8373110294342041,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,y_avg_true,0.8352475015713389,80,0,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,mcc,0.7277806187865249,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,mean_absolute_error,0.045860415003417365,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,median_absolute_error,0.031138888406753495,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,mse,0.004471409846817173,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,pearsonr,0.8914964611192402,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,r2,0.7931958593779096,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,rmse,0.06686860135233258,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,spearmanr,0.862443240460693,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,y_avg_pred,0.8375720381736755,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,y_avg_true,0.8352475015713389,80,0,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,mcc,0.6896446797377327,80,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,mean_absolute_error,0.04016780734922735,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,median_absolute_error,0.02699407796859743,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,mse,0.0034657192771578704,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,pearsonr,0.91506296091855,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,r2,0.8368035753038268,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,rmse,0.058870359920403674,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,spearmanr,0.8860118952988839,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,y_avg_pred,0.8376592397689819,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,y_avg_true,0.8359507660276556,101,1,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,mcc,0.7301253649312435,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,mean_absolute_error,0.04652922536906845,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,median_absolute_error,0.031163689231872568,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,mse,0.004636434051946178,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,pearsonr,0.8850967654338322,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,r2,0.7816760677634247,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,rmse,0.06809136547276885,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,spearmanr,0.8560539392477939,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,y_avg_pred,0.8367644548416138,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,y_avg_true,0.8359507660276556,101,1,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,mcc,0.6676867054234569,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,mean_absolute_error,0.04587910596132278,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,median_absolute_error,0.031219363784790063,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,mse,0.004492819019802436,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,pearsonr,0.8886071640800686,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,r2,0.7884387216035549,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,rmse,0.06702849408872645,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,spearmanr,0.8584333158556265,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,y_avg_pred,0.8357692360877991,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,y_avg_true,0.8359507660276556,101,1,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,mcc,0.6879744391117055,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,mean_absolute_error,0.0432652266231256,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,median_absolute_error,0.028983380079269424,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,mse,0.0040380546830002745,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,pearsonr,0.9004977532351279,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,r2,0.8098530105030012,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,rmse,0.06354568972794515,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,spearmanr,0.8707381968280409,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,y_avg_pred,0.83842533826828,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,y_avg_true,0.8359507660276556,101,1,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,mcc,0.7042682435716207,101,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,mean_absolute_error,0.041106016514711165,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,median_absolute_error,0.027487733936309818,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,mse,0.003657740529507968,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,pearsonr,0.9100869348652896,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,r2,0.8277615325579653,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,rmse,0.060479257018485014,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,spearmanr,0.8808878123275413,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,y_avg_pred,0.837276816368103,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,y_avg_true,0.8359507660276556,61,1,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,mcc,0.7193834536150264,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,mean_absolute_error,0.03788143176093258,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,median_absolute_error,0.025375620985031155,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,mse,0.0031483341900250673,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,pearsonr,0.9232196299486324,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,r2,0.8517488456300586,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,rmse,0.056110018624351464,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,spearmanr,0.8962234092160976,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,y_avg_pred,0.8368495106697083,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,y_avg_true,0.8359507660276556,61,1,1,lc.ctrp.nn_reg0.ls_hpo
203650,te,mcc,0.7513534091571983,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,mean_absolute_error,0.045465106387489775,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,median_absolute_error,0.03094463968276978,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,mse,0.004415307512961014,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,pearsonr,0.890691450368535,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,r2,0.7920886423783576,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,rmse,0.06644778034638188,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,spearmanr,0.8611937524066166,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,y_avg_pred,0.8366919159889221,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,y_avg_true,0.8359507660276556,61,1,1,lc.ctrp.nn_reg0.ls_hpo
79850,te,mcc,0.684264097495565,61,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,mean_absolute_error,0.04279445781250333,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,median_absolute_error,0.02909002623558044,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,mse,0.0038895080651408327,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,pearsonr,0.904267269391942,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,r2,0.8168478866013474,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,rmse,0.062365920703063724,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,spearmanr,0.8731883507588135,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,y_avg_pred,0.8345576524734497,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,y_avg_true,0.8359507660276556,81,1,1,lc.ctrp.nn_reg0.ls_hpo
109096,te,mcc,0.7128035963266621,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,mean_absolute_error,0.03958277511284608,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,median_absolute_error,0.026586023807525616,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,mse,0.0033683463255613235,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,pearsonr,0.9175292393080255,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,r2,0.8413887468921332,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,rmse,0.05803745622924322,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,spearmanr,0.8888654339126165,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,y_avg_pred,0.8365615606307983,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,y_avg_true,0.8359507660276556,81,1,1,lc.ctrp.nn_reg0.ls_hpo
174228,te,mcc,0.736738104073811,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,mean_absolute_error,0.045010040765045424,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,median_absolute_error,0.030182166385650574,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,mse,0.0043628557138149695,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,pearsonr,0.8925400212009176,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,r2,0.7945585325815064,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,rmse,0.06605191680651644,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,spearmanr,0.8628311180683575,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,y_avg_pred,0.8371179699897766,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,y_avg_true,0.8359507660276556,81,1,1,lc.ctrp.nn_reg0.ls_hpo
68313,te,mcc,0.6937978089158398,81,1,1,lc.ctrp.nn_reg0.ls_hpo
