dataset,model,alpha,beta,gamma
GDSC1,dGDBT,1.8587144096231947,-0.6103758595660612,0.06502263952433768
GDSC1,hGDBT,0.12485849796740783,-0.06069098366720771,-0.00046230354502114465
GDSC1,sNN,5.463902513647056,-0.0011177513283755491,-5.332962753667853
GDSC1,mNN,20.595806531927835,-0.00035834962584485597,-20.452695942061133
