dataset,model,alpha,beta,gamma
CTRP,dGDBT,7.103649985609872,-0.7546195790758015,0.04891101504038308
CTRP,hGDBT,2.1428134346334837,-0.001503342418388176,-2.06082692560489
CTRP,sNN,3.6354771117657254,-0.0017124533442138823,-3.5218206003782613
CTRP,mNN,0.3185129778672109,-0.03997820434580235,-0.16002934403832939
