dataset,tr_size,model,sK,Ds
CTRP,203651,dGBDT,0.04963758111482089,
CTRP,203650,hGBDT,0.04263780157603531,14.1
CTRP,203650,sNN,0.03766404487511072,24.12
CTRP,203650,mNN,0.035347898658001156,28.79
