dataset,model,rmse,mae,r2
NCI60,dGBDT,4.040468952455357e-05,3.165251579735551e-05,0.948577324723332
NCI60,hGBDT,2.613646153888708e-05,2.2951629894573527e-05,0.9998946525600035
NCI60,sNN,9.847964473573313e-05,6.984441482476375e-05,0.9990921271557222
NCI60,mNN,8.479812418547246e-05,6.514825972457883e-05,0.9990859423816446
