dataset,tr_size,model,sK,Ds
GDSC1,115863,dGBDT,0.06655284061740925,
GDSC1,115863,hGBDT,0.061068064879871695,8.24
GDSC1,115863,sNN,0.05953161205118602,10.55
GDSC1,115863,mNN,0.056903973109047365,14.5
