dataset,model,alpha,beta,gamma
GDSC2,dGDBT,1.2713258625064585,-0.5800452585920904,0.05680544841282517
GDSC2,hGDBT,0.3179770941330185,-0.289595710956407,0.039612703687555866
GDSC2,sNN,0.22110461353356384,-0.18894814787962766,0.024884470254704742
GDSC2,mNN,0.1712499993973734,-0.07695425208677037,-0.021306590501642443
