dataset,model,tr_size,sK,Ds,s2T,s2T_impv,m_func_s,m_factor
NCI60,dGBDT,674999,0.055406031689195764,,0.05539978559069915,0.0112733,,
NCI60,hGBDT,674999,0.032633813305208544,41.1,0.03130237571270531,4.0799326,12774917.0,18.925831001231114
NCI60,sNN,674999,0.033246257900755555,40.0,0.030875636690158748,7.1304903,1876474.0,2.779965599949037
NCI60,mNN,674999,0.032019832262623074,42.21,0.030406768327854987,5.0377026,4138578.0,6.131235749978889
