dataset,tr_size,model,sK,Ds
NCI60,674999,dGBDT,0.055406031689195764,
NCI60,674999,hGBDT,0.032633813305208544,41.1
NCI60,674999,sNN,0.033246257900755555,40.0
NCI60,674999,mNN,0.032019832262623074,42.21
