dataset,model,tr_size,sK,Ds,s2T,s2T_impv,m_func_s,m_factor
GDSC1,dGBDT,115863,0.06655284061740925,,0.06601019518351826,0.8153603,,
GDSC1,hGBDT,115863,0.061068064879871695,8.24,0.058532330339234086,4.1523087,648331.0,5.595669022897733
GDSC1,sNN,115863,0.05953161205118602,10.55,0.056013059997581216,5.9103927,347175.0,2.9964268144273842
GDSC1,mNN,115863,0.056903973109047365,14.5,0.05213849041698637,8.3746045,262810.0,2.268282367969067
