dataset,model,alpha,beta,gamma
NCI60,dGDBT,105656.81403849232,-1.6396432641994803,0.05539040266893751
NCI60,hGDBT,9.34187306895465,-0.5784780787408148,0.02864672695406805
NCI60,sNN,0.9146090217004449,-0.3241277478163724,0.021451872468119772
NCI60,mNN,5.574027443114357,-0.5204062615764977,0.026810058855077014
