tr_size,set,metric,score,cnt,split,trial,exp
115863,te,mean_absolute_error,0.05875236966006295,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,median_absolute_error,0.04228273448944092,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,mse,0.0067823048136897,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,pearsonr,0.8676205807194731,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,r2,0.7503656119471876,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,rmse,0.08235474979434823,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,spearmanr,0.8219515676113323,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,y_avg_pred,0.7805152535438538,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,y_avg_true,0.7811119795622454,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
115863,te,mcc,0.7054677379131586,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,mean_absolute_error,0.06986834167761836,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,median_absolute_error,0.05151716041564935,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,mse,0.009237078809326107,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,pearsonr,0.8143386337471009,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,r2,0.6600134350630467,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,rmse,0.0961097227616754,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,spearmanr,0.773686827028396,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,y_avg_pred,0.7875750064849854,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,y_avg_true,0.7811119795622454,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
24310,te,mcc,0.6153924898619209,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,mean_absolute_error,0.06727130146929715,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,median_absolute_error,0.04927259464263911,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,mse,0.008568004193959108,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,pearsonr,0.8274467848761339,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,r2,0.6846398764803778,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,rmse,0.09256351437774556,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,spearmanr,0.7891384391638668,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,y_avg_pred,0.780541718006134,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,y_avg_true,0.7811119795622454,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
35919,te,mcc,0.615634429632783,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,mean_absolute_error,0.06520304591727998,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,median_absolute_error,0.04764715795516972,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,mse,0.008223030310683565,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,pearsonr,0.8364457517930465,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,r2,0.6973372332951098,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,rmse,0.09068092583715476,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,spearmanr,0.7954366180108348,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,y_avg_pred,0.7819063067436218,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,y_avg_true,0.7811119795622454,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
53072,te,mcc,0.6402661349044891,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,mean_absolute_error,0.06277092926969254,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,median_absolute_error,0.04617330255508423,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,mse,0.007544548236517584,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,pearsonr,0.8521075407052371,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,r2,0.7223099324057954,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,rmse,0.08685935894604327,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,spearmanr,0.8109835650575368,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,y_avg_pred,0.7716878652572632,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,y_avg_true,0.7811119795622454,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
78416,te,mcc,0.6803537499366472,160,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,mean_absolute_error,0.07067279226567744,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,median_absolute_error,0.05223039722442624,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,mse,0.0094820749573054,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,pearsonr,0.8106814646469022,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,r2,0.6509959306665091,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,rmse,0.09737594650274473,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,spearmanr,0.7683370316411285,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,y_avg_pred,0.7794620990753174,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,y_avg_true,0.7811119795622454,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
20000,te,mcc,0.6151173222744476,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,mean_absolute_error,0.06781504930209481,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,median_absolute_error,0.05064304981231693,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,mse,0.008591196908718006,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,pearsonr,0.8271525081602555,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,r2,0.6837862287433379,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,rmse,0.09268870971546646,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,spearmanr,0.7839575660201357,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,y_avg_pred,0.7794867753982544,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,y_avg_true,0.7811119795622454,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
29550,te,mcc,0.6238549461270196,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,mean_absolute_error,0.06526127396227123,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,median_absolute_error,0.04734582042694091,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,mse,0.008281226991641652,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,pearsonr,0.8359631688770698,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,r2,0.6951952044071789,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,rmse,0.09100124719827554,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,spearmanr,0.7942139704071423,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,y_avg_pred,0.7852060198783875,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,y_avg_true,0.7811119795622454,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
43661,te,mcc,0.6427810346887323,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
64511,te,mean_absolute_error,0.0652714517560822,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
64511,te,median_absolute_error,0.04916922359466558,180,0,1,lc.gdsc1.nn_reg0.ls_hpo
