metric,tr_size,set,std,median,mean,run1,file,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20
mean_absolute_error,2,te,0.06128312550647512,0.12265590015296246,0.1383971164454867,0.11309156394134835,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.12486732983988162,0.11667167719496704,0.13253814979794015,0.15132731861008736,0.10914110253217428,0.1102374037038668,0.11248545398376562,0.12167754415457,0.13111213354828902,0.3869401645729024,0.1097444462761195,0.12363425615135493,0.11169982746051524,0.18303480910420192,0.14656517450155745,0.12791618792120416,0.13291547095282685,0.11120344570911117,0.11113886895304928
mean_absolute_error,4,te,0.02426641761035126,0.11347141701708681,0.1259778540937475,0.11679457721494416,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.1106613651388733,0.12671349093392462,0.10919488712184112,0.11171198708191786,0.10885427005341126,0.1961965232491612,0.11145783150811127,0.12961616247681604,0.13077686660291288,0.1748599056065622,0.11182522398666386,0.11462283571530316,0.11053791175450207,0.13489111069137524,0.12782780116652914,0.10857901555382447,0.16035047981953313,0.1117648378798726,0.11231999831887046
mean_absolute_error,8,te,0.013177682920997021,0.1120002612157816,0.12006137952427876,0.11083492361845816,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.11056601192040087,0.13017641766090435,0.10897216184634274,0.13037090422563594,0.10981439318081357,0.14609229360387174,0.11075707591807983,0.1265127977520468,0.11031296510274363,0.12126029284288585,0.14398637774401218,0.10988399425223397,0.11020636302401393,0.1449098396063585,0.1129562382849861,0.10929093992327016,0.1300633820090184,0.11321593382292156,0.11104428414657712
mean_absolute_error,16,te,0.007090978910013924,0.11284516313536581,0.11612583915486649,0.10966916733009296,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.11263771494477265,0.1259027905632905,0.10913044341162854,0.12110963260688615,0.11189308102245434,0.1237874149470405,0.11098704182589944,0.11473347920671324,0.11074624692564612,0.11962196973391608,0.13234148551480873,0.11050274297448022,0.11171249332654984,0.12990823596111487,0.11561494744975585,0.10858529889985287,0.11303269427974395,0.11265763199098767,0.11794227018169542
mean_absolute_error,32,te,0.007064109564706615,0.11451600948723858,0.11665926264597068,0.10969573734626643,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.11109904771312616,0.12153957810027187,0.10929417110862832,0.11714798305444127,0.1135882419900687,0.11506781771103343,0.11628456706730245,0.12583882493639653,0.11396420126344373,0.12656912043303206,0.12379521642806145,0.10991180081289603,0.11130866331181344,0.12037797725697195,0.13313473874283993,0.1085739166250355,0.11253307799808716,0.10980825736447293,0.12365231365522432
mean_absolute_error,64,te,0.0034516004851341754,0.10352764347639348,0.10397109979918055,0.10283507789177493,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.09985184870920996,0.10495754665895993,0.10118081057876857,0.10733488692249676,0.10372475888354184,0.10349036388207623,0.107169219252623,0.10912019131550248,0.1049750646667744,0.10495288381070647,0.10356492307071072,0.09985409639632684,0.09956179071861007,0.1026566550739212,0.11126484485299452,0.10014517775134513,0.10209280455887806,0.10956344362437256,0.10112560736401724
mean_absolute_error,128,te,0.0027657542203883612,0.09854967214341398,0.09902666751321951,0.09542916321432768,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.09574215673814908,0.09988172399925037,0.09834396584691744,0.09850783332040038,0.09617766369072607,0.09903589567542864,0.09842981985696657,0.10307667996332044,0.0997067761599974,0.10079411867667504,0.09686484506714972,0.09664487508606036,0.09884230504041196,0.1006025214217616,0.10634452087884444,0.0985915109664276,0.0964854070058499,0.10317876418593316,0.09785280346979217
mean_absolute_error,256,te,0.0021725715238360465,0.09337787105801029,0.092617254915657,0.08975539788736943,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.0922650554622662,0.09265582292682101,0.09395875726395013,0.09359341182324248,0.0943368165606444,0.09371724088856047,0.0903078648214169,0.09673240767180756,0.08999525543343223,0.09341713494040124,0.09433234624614213,0.09333860717561933,0.08856676219523632,0.09386779269628956,0.09440043739812323,0.08957368258677434,0.09027442223883383,0.0923519010861729,0.09490398101003636
mean_absolute_error,512,te,0.0017599532076614376,0.08617884721207737,0.08614947740870317,0.08337704099907345,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.08582201785736641,0.08662614580579245,0.08968994567962038,0.08523278031593885,0.08445100810073823,0.0847106221166163,0.08767325227414488,0.08956648923894718,0.08663066118923883,0.08653567656678833,0.08673969198270715,0.08754965821730487,0.08428656003378661,0.08480191318725043,0.08671983214243215,0.0840479200202896,0.08495045135349039,0.08546060743056706,0.08811727366196953
mean_absolute_error,1024,te,0.0016225603648786333,0.07915882415029056,0.07930245406089158,0.07792896978072551,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.08208726079155096,0.08092418264871769,0.08219242767878987,0.07912743546398855,0.07704787541296715,0.07860268275637852,0.07818545672414348,0.08187134708798907,0.08067144213310908,0.07919021283659257,0.08015937744216589,0.07892702885846363,0.07723530555928795,0.07950318981916757,0.07943646523850778,0.0767691300830207,0.0796327636687804,0.07793963455601607,0.07861689267746907
