metric,tr_size,set,std,median,mean,run1,file,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20
mean_absolute_error,2,tr,0.051231582762671125,0.06637499999999999,0.06506749999999999,0.0071499999999999906,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.0004999999999999449,0.0716,0.006649999999999989,0.005850000000000022,0.06805,0.08634999999999997,0.06469999999999998,0.031899999999999984,0.02659999999999996,0.05925,0.08789999999999998,0.011349999999999971,0.13674999999999998,0.20065,0.07495000000000003,0.04520000000000002,0.10960000000000003,0.10325,0.10309999999999996
mean_absolute_error,4,tr,0.0696656208098909,0.08407500000000001,0.10503249952897428,0.016862505078315743,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.08639999999999998,0.049187502098083515,0.12856249434947964,0.11768749943971632,0.048449999999999986,0.2178374961167574,0.05508750720024108,0.2525250003635883,0.01817499999999997,0.251425,0.05307499999999998,0.0518374945640564,0.11195,0.14665,0.1072,0.08175000000000003,0.0809999929428101,0.0766874984264374,0.1483
mean_absolute_error,8,tr,0.041356532786577485,0.09748749776184559,0.11238093685232102,0.07479999754130841,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.080825,0.1663156252294779,0.09552499552369118,0.1469125,0.0585,0.17431250000000004,0.05281875202357768,0.1778906244829297,0.0872062484204769,0.1807906266182661,0.10452187487185,0.10579374684095384,0.0893125,0.15804999645352366,0.0906875,0.08108749929964543,0.09945,0.08430000131428245,0.13851874842643738
mean_absolute_error,16,tr,0.028159480908104207,0.10599531073644755,0.1122528513206262,0.10615624737143516,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.10442968821451068,0.14924218538887798,0.09539062413424253,0.1286,0.089975,0.16686406198013576,0.08529375212676824,0.1539468735486269,0.10583437410145996,0.15356249962523585,0.09193359339758753,0.07840312503278253,0.1129671874128282,0.13739062414765355,0.10237031310796738,0.08411874930337072,0.1215468775190413,0.0654625,0.11156875
mean_absolute_error,32,tr,0.024994349350590722,0.10757919920911081,0.11088337871992263,0.09702382661178707,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.08583750000000001,0.1308816398319788,0.08354218744784593,0.1157455071296543,0.090034375,0.11837499944078735,0.1216906261317432,0.13333437509909274,0.1073591794998385,0.1598468753648922,0.09398339835628866,0.08464296854026615,0.09911289062052964,0.14133906193673612,0.1414082027811557,0.07270781218856574,0.10779921891838312,0.08604160142112524,0.14696132807778195
mean_absolute_error,64,tr,0.01966865677644401,0.06519959890815939,0.06601997835202986,0.057952671528845714,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.05105706498010818,0.060071422554025984,0.04364635480516103,0.0865404587393436,0.052473482590514826,0.0902874678096858,0.07247252596322984,0.091711704420019,0.0589208980306258,0.07032777526229281,0.045124028558635884,0.028238117443836305,0.05542087268608381,0.0927892807531843,0.0902599733145482,0.03773526538831337,0.07704063449277232,0.08176211823267128,0.07656744948669895
mean_absolute_error,128,tr,0.013437384203938568,0.051210593470158855,0.05208795566937986,0.03839149406648434,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.0520543743163621,0.055457032073401705,0.0686890780037161,0.04462168177862074,0.0279801195795266,0.04825944889804959,0.058778569420792265,0.0692120206859381,0.047590120928247895,0.057120662684199734,0.04169560881764232,0.04294576245146332,0.05036681262395562,0.06741811362240291,0.07062123586262672,0.03983769831014911,0.0697940280843744,0.02819111006848337,0.06273414111116024
mean_absolute_error,256,tr,0.011571692713770157,0.04392568808649507,0.04486273181827448,0.04769748045541811,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.032926403128667056,0.04523057824140321,0.05320829710467466,0.04019225087827241,0.06281249574289634,0.04104447722949962,0.033916320394297664,0.05924697099002985,0.032641975355401684,0.05867629833612949,0.05406039334480428,0.042620797931586935,0.033260564047404594,0.020634520415798392,0.05311241897204936,0.03212279295898485,0.055011119692967514,0.041926339411284916,0.05691214173391875
mean_absolute_error,512,tr,0.00864069411611496,0.03621730983010036,0.03459375714630865,0.03607146304109958,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.028268672769999507,0.03672962741327437,0.04985922726281077,0.02266806294740292,0.03985131285917903,0.02043399629165233,0.03630253679712856,0.045449439371138725,0.04307432645206315,0.04539575156603735,0.041715473508681634,0.03624076820050647,0.03619385145969425,0.02811182494056901,0.03272704510771949,0.019811020590476687,0.02423994216228939,0.03834815921568578,0.030382640968763964
mean_absolute_error,1024,tr,0.0055914862779387195,0.025481738235894297,0.025016790635323027,0.026891628450352176,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/multi_seed_lgbm_100_trees/top6.lgb_reg.ge.dd.auc_2019-12-3_h18-m26/lrn_crv_scores.csv,0.03416260537631878,0.02616885246179746,0.03464897946873816,0.02293233166866833,0.03236486360757339,0.02268182355703741,0.02609862551246261,0.02730683275436918,0.02612659364193305,0.014438011476501754,0.030845693310988083,0.01418048253450412,0.019328340393060042,0.023533236090353155,0.024864850959325984,0.0233693789069011,0.024822961336763816,0.018865959411057988,0.026703761787753973
