dataset,model,tr_size,sK,Ds,s2T,s2T_impv,m_func_s,m_factor
CTRP,dGBDT,203651,0.04963758111482089,,0.049326092064568214,0.6275267,,
CTRP,hGBDT,203650,0.04263780157603531,14.1,0.04077635772618571,4.3657125,871621.0,4.279995089614535
CTRP,sNN,203650,0.03766404487511072,24.12,0.03412164008421481,9.4052691,422562.0,2.074942302970783
CTRP,mNN,203650,0.035347898658001156,28.79,0.030014071785216784,15.0895161,321781.0,1.5800687453965137
