dataset,model,tr_size,sK,Ds,s2T,s2T_impv,m_func_s,m_factor
GDSC2,dGBDT,78423,0.05866450700729389,,0.05803755177463588,1.068713,,
GDSC2,hGBDT,78423,0.05180332024651971,11.7,0.04956238130810543,4.3258597,525528.0,6.701197352817413
GDSC2,sNN,78423,0.051120130818434716,12.86,0.04794783775860635,6.2055652,249689.0,3.183874628616605
GDSC2,mNN,78423,0.05054111919158408,13.85,0.046898502468786955,7.207234,205821.0,2.6244979151524426
