rmse,mae,r2,model
2.613646153888708e-05,2.2951629894573527e-05,0.9998946525600035,hGBDT
9.847964473573313e-05,6.984441482476375e-05,0.9990921271557222,sNN
8.479812418547246e-05,6.514825972457883e-05,0.9990859423816446,mNN
