tr_size,set,metric,score,cnt,split,trial,exp
68313,te,y_avg_true,0.8352475015713389,20,0,1,lc.ctrp.nn_reg1.ls_hpo
68313,te,mcc,0.7008975410412581,20,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,mean_absolute_error,0.03766581125294803,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,median_absolute_error,0.025270812511444085,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,mse,0.003103637585613053,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,pearsonr,0.9260528803109368,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,r2,0.8564557654780844,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,rmse,0.055710300534219465,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,spearmanr,0.8988170733570492,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,y_avg_pred,0.8380172252655029,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,y_avg_true,0.8352475015713389,40,0,1,lc.ctrp.nn_reg1.ls_hpo
149056,te,mcc,0.7420716336284748,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,mean_absolute_error,0.04658091996526621,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,median_absolute_error,0.031562965250015285,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,mse,0.004633746410586326,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,pearsonr,0.8884916654472053,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,r2,0.7856877411977522,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,rmse,0.06807162705993097,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,spearmanr,0.8599097422231434,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,y_avg_pred,0.8382027149200441,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,y_avg_true,0.8352475015713389,40,0,1,lc.ctrp.nn_reg1.ls_hpo
50000,te,mcc,0.6826311954523895,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,mean_absolute_error,0.04679086132852875,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,median_absolute_error,0.03264874005317692,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,mse,0.0045654383776390075,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,pearsonr,0.8896211839297912,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,r2,0.7888470096466758,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,rmse,0.06756802777674517,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,spearmanr,0.8611870015391838,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,y_avg_pred,0.8334394693374634,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,y_avg_true,0.8352475015713389,40,0,1,lc.ctrp.nn_reg1.ls_hpo
58443,te,mcc,0.6839634702403873,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,mean_absolute_error,0.04163085712108838,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,median_absolute_error,0.02805526046752929,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,mse,0.0037352965173643687,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,pearsonr,0.9101694669269416,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,r2,0.8272413371384226,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,rmse,0.06111707222506956,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,spearmanr,0.8801000027098562,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,y_avg_pred,0.8388348221778871,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,y_avg_true,0.8352475015713389,40,0,1,lc.ctrp.nn_reg1.ls_hpo
93334,te,mcc,0.7043914659187648,40,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,mean_absolute_error,0.039620570974442514,1,1,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,median_absolute_error,0.027369406986236574,1,1,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,mse,0.0033351022987490038,1,1,1,lc.ctrp.nn_reg1.ls_hpo
