dataset,tr_size,model,sK,Ds
NCI-60,674999,dGBDT,0.05543587045951625,
NCI-60,674999,hGBDT,0.03261639123642634,41.16
NCI-60,674999,sNN,0.0332919698092634,39.95
NCI-60,674999,mNN,0.032059401643203075,42.17
