dataset,model,rmse,mae,r2
GDSC1,dGBDT,3.403877201392616e-05,2.6237927607891676e-05,0.9986297690355734
GDSC1,hGBDT,2.3308763879391064e-05,1.9561174007507592e-05,0.9998895897002129
GDSC1,sNN,9.037896842773044e-05,8.403340719117108e-05,0.9993160654446085
GDSC1,mNN,3.931833524230538e-05,3.329718121138497e-05,0.9999091340139175
