dataset,model,set,alpha,beta,gamma
GDSC1,dGBDT,median,6.974124700975072,-0.7496305846717245,0.06542612990925245
GDSC1,dGBDT,ci_lwr,0.6551641753294427,-0.5026248630880071,0.06417567489556725
GDSC1,dGBDT,ci_upr,15.538719989250007,-0.8416212807721957,0.06616370606089834
GDSC1,hGBDT,median,0.12292671571410396,-0.06468996183557207,0.0032957686250305435
GDSC1,hGBDT,ci_lwr,34.00324917953864,-0.0001121347441204179,-33.89807238942895
GDSC1,hGBDT,ci_upr,0.24429195916781427,-0.26631606858453954,0.051013404428829755
GDSC1,sNN,median,93.58148430413343,-6.578670782891871e-05,-93.44948364476076
GDSC1,sNN,ci_lwr,2.0154581526586677,-0.00319553701832187,-1.8820806272660338
GDSC1,sNN,ci_upr,0.1954184066026984,-0.13177559797240745,0.018757621586929146
GDSC1,mNN,median,0.251662619234386,-0.15479322323418798,0.016039036937281474
GDSC1,mNN,ci_lwr,20.78934936846749,-0.00034841454419931583,-20.648224398212694
GDSC1,mNN,ci_upr,0.21898953406000643,-0.08249531000406224,-0.025712785087000745
