dataset,tr_size,model,sK,Ds
GDSC1,115863,dGBDT,0.06654145591933949,
GDSC1,115863,hGBDT,0.061113345256560786,8.16
GDSC1,115863,sNN,0.060243345637019274,9.46
GDSC1,115863,mNN,0.05743465575416985,13.69
