dataset,model,rmse,mae,r2
NCI-60,dGBDT,2.3480227622142776e-05,2.1329215446399635e-05,0.9804791915975886
NCI-60,hGBDT,9.924404524422205e-06,8.185514566862173e-06,0.9999848964609477
NCI-60,sNN,2.86929086574177e-05,2.0825666715694363e-05,0.9999237152910516
NCI-60,mNN,1.058830437330243e-05,8.7379800455032e-06,0.9999857510797681
