dataset,model,rmse,mae,r2
GDSC2,dGBDT,8.000749718354233e-06,6.192860803430622e-06,0.9998218191841545
GDSC2,hGBDT,1.007668723981768e-05,7.959484102806891e-06,0.999971328390546
GDSC2,sNN,2.351499326348079e-05,2.1039536804894067e-05,0.9999101140541815
GDSC2,mNN,2.94827168460962e-05,2.6377004804431502e-05,0.9998576362966646
