dataset,tr_size,model,sK,Ds
GDSC2,78423,dGBDT,0.05865025887564085,
GDSC2,78423,hGBDT,0.05179333136279303,11.69
GDSC2,78423,sNN,0.05119985150868318,12.7
GDSC2,78423,mNN,0.050905271134147244,13.21
