metric,tr_size,set,std,median,mean,run0,file,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19
mean_absolute_error,2,tr,0.06688320234990956,0.05345,0.07727750000000003,0.03565000000000007,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.18885,0.07014999999999999,0.19380000000000006,0.07305,0.0004000000000000114,0.1823,0.16550000000000006,0.02629999999999999,0.01679999999999998,0.05375000000000002,0.08265,0.053149999999999975,0.006750000000000035,0.0257,0.14040000000000002,0.043800000000000006,0.14799999999999994,0.03589999999999999,0.002650000000000041
mean_absolute_error,4,tr,0.05948747473742053,0.102081249833107,0.11104374996244908,0.16653750418424604,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.15183750563859938,0.2985,0.17660000000000006,0.07515000000000002,0.04413749277591705,0.15145,0.10527500000000004,0.07341249898672103,0.03317500000000001,0.07579999999999998,0.08627499999999999,0.08310000000000001,0.11581249799728395,0.104425,0.099737499666214,0.1096,0.13335,0.044174999999999985,0.092525
mean_absolute_error,8,tr,0.04466173791426896,0.10898750115334987,0.1159678123189509,0.10680000230669977,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.094493754029274,0.24129999943226574,0.14847812168598176,0.08251875222027304,0.12315624604821207,0.1481375,0.111175,0.11588124951422216,0.03467499855160712,0.07181249999999999,0.09352499707043173,0.08226250000000003,0.0965437503695488,0.08074999999999999,0.098675,0.17199062535762788,0.1396437516480684,0.11132187445759774,0.16621562368720771
mean_absolute_error,16,tr,0.03037745892369197,0.11361874986737966,0.11796933568157256,0.11185624973475933,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.07230781314074994,0.1978578132007271,0.13677578047700226,0.1341328121878207,0.08825937445685267,0.17049375062212346,0.10915,0.11538125,0.12994843578226867,0.08513593709245322,0.10993906136900186,0.1171937489114702,0.09243750092536213,0.07963671895861624,0.10343750000000003,0.14185,0.12289999999999998,0.10513749903589488,0.13555546773634852
mean_absolute_error,32,tr,0.023102535843437952,0.11838984364569188,0.12040520508003656,0.10478691437654196,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.1022648440279998,0.1808828121096827,0.13014882829049604,0.1079972649586387,0.12416562447287142,0.1508050790260546,0.1252652344899252,0.14822402351321656,0.12383164072586225,0.11309492126647384,0.09899961044229567,0.1371203125899192,0.09060332055930047,0.08724863284304737,0.120215625,0.14089726557470855,0.1079234374448657,0.09706464759744704,0.11656406229138375
mean_absolute_error,64,tr,0.02322009325445541,0.09124798216665773,0.09145031224054287,0.10124828472762364,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.07860792467345523,0.11936704314401166,0.1155785884334784,0.092501045062356,0.08949991650813073,0.14836046710868014,0.0800263322508067,0.1089416769096586,0.09800472426034422,0.08999491927095947,0.057063889776787766,0.09426527898877393,0.06570504245789516,0.10750506556898276,0.08818085078798066,0.042775228233456204,0.08354548567663987,0.09463572357082604,0.07319875740001057
mean_absolute_error,128,tr,0.018243981481262415,0.06624778307037589,0.06361875335245219,0.07660596907562317,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.06664828478686458,0.07274483966406765,0.0658472813538872,0.053101294948978285,0.08611614910840845,0.10101983694283358,0.0602650017893922,0.08280793468699876,0.07188020935036563,0.048135446653845136,0.032512522012940935,0.07479535828563551,0.07340667469532644,0.05139703196157372,0.07258981166357002,0.04761656618658098,0.025433385814468124,0.04905398882331863,0.060397479244364664
mean_absolute_error,256,tr,0.009366265456506161,0.04602929380746216,0.04485633281095416,0.05429445053153354,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.06224857590934101,0.06361873171119006,0.04925270520732655,0.050594888049800016,0.04489063350345149,0.047176728891732765,0.04139567535256406,0.046596244664042885,0.04973772460600035,0.048095339413124855,0.03599614089502383,0.038831297333048416,0.031812337157623924,0.042828573956360326,0.032908781249299635,0.04546234295088143,0.031261729329178554,0.04881656135825966,0.031307194149299666
mean_absolute_error,512,tr,0.013403014013986636,0.029129384784047377,0.02919083595217316,0.02670986955031989,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.03248754579479075,0.04922067623571191,0.04328375057965378,0.015541937879928852,0.005629747273643829,0.02008568565965655,0.03067836663292825,0.027580402935166504,0.02467151136746129,0.017189159092911382,0.031002621988821283,0.0350675371864797,0.01252677713847989,0.019802395417182792,0.06435815134988494,0.03103879454957497,0.03937430942360215,0.034023650825367666,0.023543828161896846
mean_absolute_error,1024,tr,0.007900202452318709,0.02289684264397291,0.023129593620022856,0.021989141673879425,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/multi_seed_lgbm_100_trees/run_00/lrn_crv_scores.csv,0.022670399797799518,0.035166156834419336,0.02479981960082644,0.0278736511705542,0.012971475287618876,0.0205997172261688,0.02278938698649492,0.019657107717432912,0.007443033135045687,0.030165495005957457,0.024196895856272167,0.016225847697342755,0.024883474870183074,0.014383080985783819,0.0280141507290002,0.013586914919487249,0.03906776917483852,0.033104055429900865,0.0230042983014509
