n_pnts,0,mae,rmse,alpha,beta,gamma
3,32768,4.625929269271485e-18,8.012344526598183e-18,0.2595991688417354,-0.03678653702486456,-0.1081945595850852
6,4096,0.00021038238351701646,0.000273745754446923,0.2665545034094348,-0.03280739694776508,-0.12085518328773855
4,16384,0.0002363531147707744,0.0002470626712953153,7.086925838825228,-0.0008247944323989675,-6.9577696159080835
5,8192,0.00024566879628625524,0.0003003322036371909,90.41904187758804,-6.78123301342537e-05,-90.28648829431513
7,2048,0.0011727090706082474,0.0017588962112858161,0.2697421889613181,-0.2152494925969427,0.039497824966930446
8,1024,0.001482206323158368,0.0021971217001032625,0.49843712258019807,-0.31319869590037763,0.04877958143991487
9,512,0.0035593072571251045,0.00653002332569862,1.429149832022965,-0.46071496288411684,0.055575174906427306
