metric,tr_size,set,std,median,mean,run0,file,run1,run2,run3,run4,run5,run6,run7,run8,run9
mean_absolute_error,128,tr,0.25415850496015574,0.38241849382302023,0.4395319015185824,0.6231824298506778,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.17386176957935096,0.3952073734923964,0.18544021907411515,0.7812885102777422,0.7275754169654566,0.7386199386606465,0.2312554060405121,0.16925833709128202,0.3696296141536441
mean_absolute_error,256,tr,0.06468116163818002,0.15756497355746102,0.18274694175298004,0.13144408127889035,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.15851115757059306,0.156618789544329,0.3256431076270324,0.13273575690463185,0.27672278389286953,0.15411429854445158,0.1562554594606161,0.16416101425960658,0.17126296844677996
mean_absolute_error,512,tr,0.03353132697435303,0.14912179513514273,0.142234789059055,0.18053680260255933,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.09954414494386872,0.1276237585840514,0.16653411079309882,0.1475787250811467,0.0825820164724253,0.1506648651891388,0.12827728572208436,0.18801882529892028,0.15098735590325668
mean_absolute_error,1024,tr,0.04249702057971434,0.07997304563513026,0.09795389926346224,0.05780522949495352,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.07080313307328615,0.0985668543897802,0.07516989335296675,0.17914183576132348,0.07780507794022559,0.08153600993412546,0.07841008133613506,0.17294767078375445,0.08735320656807162
mean_absolute_error,2048,tr,0.0061314105679010225,0.05914397779669381,0.06133710214444203,0.05787663386974017,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.05887307908216026,0.05941487651122735,0.07325576365997549,0.05688916767039336,0.05443197887423448,0.05668348785792478,0.0603774245067616,0.0686141446403577,0.06695446477164514
mean_absolute_error,4096,tr,0.006485969772598012,0.04634669182635845,0.0462596985985816,0.05835216525938595,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.04352935316915391,0.044887798919714984,0.05310299753997242,0.035718536303716235,0.038623538941459264,0.04784041333021597,0.047281779675127485,0.045411603977589414,0.04784879886948038
mean_absolute_error,8192,tr,0.007883993594307397,0.040706436915285305,0.04211798081753659,0.045367592568096,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.05185732072712272,0.034314661977160724,0.04919252365640132,0.05423809713805676,0.0411477384418773,0.03472398098772392,0.030745720360270932,0.03932703692996292,0.040265135388693314
mean_absolute_error,16384,tr,0.01092149547107715,0.03808281680275831,0.04155925639915891,0.0331603695278056,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.05879995795739815,0.0359648991930153,0.04142436661638494,0.03276578756961972,0.03974584562918753,0.027272381978854537,0.054344988992105936,0.036419787976329096,0.05569417855088832
mean_absolute_error,32768,tr,0.0030479118774634642,0.046642922961708244,0.04688997595327703,0.043440335557401705,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.05092396775140514,0.043660856554523335,0.05081070692126377,0.049853126130811866,0.048569030472038144,0.044905468349742295,0.04345042187216749,0.047678561193389764,0.04560728473002673
mean_absolute_error,65536,tr,0.006447783917447116,0.046178649829264035,0.044059341963992416,0.028328281863479788,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.04503021060882238,0.045881429086455316,0.046475870572072746,0.03906107374873245,0.047843307383247165,0.047756706874063824,0.04184576549634221,0.05094217728886797,0.04742859671784026
mean_absolute_error,88416,tr,0.004898369320359945,0.04351412552346786,0.04271718897887866,0.042028212649446665,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.04117730495787664,0.046930833077562316,0.03488995184769374,0.048262375268240336,0.046483363116146134,0.038790189005338524,0.04758620641854819,0.036023415050445,0.045000038397489055
median_absolute_error,128,tr,0.29811309250814216,0.37121795833855864,0.4261198673692346,0.63995,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.13599084615707396,0.3953691687583923,0.12724393906593326,0.8148,0.7828999999999999,0.7628999999999999,0.167965979719162,0.08701199207305904,0.34706674791872494
median_absolute_error,256,tr,0.06365681148131017,0.12292797217369078,0.141055234375,0.09057625164985657,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.12529226446151734,0.11017470974922178,0.28708478918075564,0.09701205086708063,0.2256422166824341,0.1037802315235138,0.1229375318050384,0.1251338852882385,0.12291841254234315
median_absolute_error,512,tr,0.024690573095066497,0.11189199829101559,0.11031464373111725,0.1311102540016174,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.07694698724746701,0.10267373447418217,0.1347487432003021,0.10893136968612672,0.0627577444076538,0.11398009481430048,0.1098039017677307,0.13959056959152222,0.1226030381202698
