n_pnts,mae,rmse,alpha,beta,gamma
4,2.031241729326741e-05,2.2354582211711882e-05,1.817220814651325,-0.49006841411991925,0.04058917685748737
5,8.554458988266761e-05,0.00011034487375720565,0.7750239418542191,-0.39744088040547954,0.039106589185386884
6,0.00011582016033333715,0.00016140170856502047,1.0237446221618747,-0.4290268547912136,0.0397303990716598
7,0.00021748050626473257,0.0002964537143495825,0.7929026185029613,-0.3993106308693825,0.03910196555889793
8,0.0003277856528831795,0.0005147372306156241,0.6349374232830628,-0.3724035188702731,0.0384067594933999
9,0.0005777380772490286,0.0010605317580562998,0.5065706322318237,-0.34390661400161615,0.037511081914682096
10,0.00104047953529696,0.0018272870324314613,0.4213949979592603,-0.3197021458719373,0.036592583367305594
11,0.0016395476743076458,0.0031570119513836693,0.35826004399745964,-0.29748516593977736,0.035590991768161245
12,0.002395415843374948,0.004373180294086962,0.3224730361505342,-0.2825368590487679,0.03481223531155974
