metric,tr_size,set,std,median,mean,run0,file,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
mean_absolute_error,128,tr,0.02012808398712406,0.08969164607226847,0.08356672400571406,0.052248378275334836,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.09161939884424207,0.0976961284637451,0.10240980995446444,0.038685147131979465,0.08574233595095572,0.08751553636714818,0.09234583205133676,0.08059789760112762,0.10068185335025193,0.08969164607226847
mean_absolute_error,256,tr,0.02278649477134438,0.06273673997595906,0.05963997059100392,0.0352989450134337,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.06619595971181988,0.03931579164043068,0.10046141398735343,0.04471696455460042,0.06760854366514832,0.09231862457990647,0.06273673997595906,0.048166573451273134,0.02985153395831585,0.06936858596280218
mean_absolute_error,512,tr,0.009055890339868285,0.040898667436093085,0.04259573044675318,0.06384763369923457,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.04797978071160615,0.04424452036349104,0.032985239872615785,0.040898667436093085,0.03807828886564822,0.04576514668352902,0.04772866667527706,0.03085680117476732,0.039843301492929466,0.03632498793909328
mean_absolute_error,1024,tr,0.0030131117155516376,0.03948162653143518,0.03839937657905658,0.03952833239412866,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.04042677183737978,0.04164259935375303,0.04114374422938563,0.03948162653143518,0.03510194534445182,0.03259504737891257,0.03847926968666725,0.041707121531665316,0.03663932749782689,0.035647356584016236
mean_absolute_error,2048,tr,0.006096643976519179,0.033800217687129035,0.03255513916217341,0.026465946843381973,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.03465673880612012,0.033800217687129035,0.032604282715497535,0.019855618017376404,0.04157320993784815,0.034393185645714405,0.026630531818512826,0.0376789429123979,0.03334483288815245,0.0371030235117767
mean_absolute_error,4096,tr,0.005672823361031821,0.027607814711425455,0.02867731217251117,0.026211881875921973,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.03796874625468627,0.027607814711425455,0.028567009321169463,0.021594531100918538,0.027035122426378073,0.03135946570959641,0.02419986139677931,0.03775768113005906,0.021243096447002608,0.03190522352368571
mean_absolute_error,8192,tr,0.0037235612588659623,0.028330995702848305,0.02952560098117154,0.029045337752409982,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.034650068565359106,0.03087717843998689,0.0273226553944056,0.024711891297536204,0.03272993059534346,0.02740455686110072,0.027721275851276005,0.02558341034948244,0.028330995702848305,0.03640430998313822
mean_absolute_error,16384,tr,0.0035773482573283836,0.02947327656965936,0.029419399795067944,0.02426019710632099,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.026701982129894896,0.03019301784349955,0.030296226940659112,0.026553306204429826,0.02947327656965936,0.028145563909588958,0.029584543537776332,0.027125723119234318,0.035426917677372695,0.03585264270731132
mean_absolute_error,32768,tr,0.003152207617031111,0.03165391012788168,0.03219927270434525,0.03102757836149685,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.0283663808648882,0.03165391012788168,0.03388894205186807,0.03353276746233168,0.034737603380749354,0.028508705355378337,0.03280674350699847,0.030652189844242818,0.029771617435295775,0.03924556135666644
mean_absolute_error,65536,tr,0.0022494522825726965,0.033899991571408467,0.03460637867539156,0.03262795432870698,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.03522406841213306,0.03371591799265952,0.03440791902158453,0.032209717439801167,0.040677009779957,0.033899991571408467,0.033753745417260506,0.03561316502017798,0.0347233102597871,0.033817366185830915
mean_absolute_error,131072,tr,0.0016105618089740528,0.03684142047940114,0.03735146457050115,0.03684142047940114,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.0399654310573882,0.03638352572642289,0.037423505308476164,0.038151315152515235,0.0363587173893644,0.03588764402390116,0.03893761119098526,0.03523783849749853,0.03601250102868216,0.03966660042087752
mean_absolute_error,213015,tr,0.001397583153711759,0.037652134838124164,0.03767863423478291,0.035287915650315284,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.03670842870416975,0.037652134838124164,0.03866836087700895,0.03728113943553879,0.037351329849164505,0.03776035720638056,0.0376830519976597,0.03648806299560526,0.040589765731319366,0.038994429297325765
median_absolute_error,128,tr,0.01915491956954112,0.07515464620590212,0.0708190759528767,0.041142691373825084,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.07752704081535339,0.09265335788726807,0.08406326670646669,0.03367415900230408,0.07149755115509032,0.07427783923149113,0.07944335770606993,0.057840505218505874,0.09173542017936703,0.07515464620590212
