rmse,mae,r2,data
5.25037097245916e-05,4.144842648905568e-05,0.9988872616202071,gdsc1
3.3043978398766324e-05,2.857365784656282e-05,0.9991458270727558,gdsc2
2.5665165429269427e-05,2.2780642080340772e-05,0.9997399236080406,ctrp
8.78022824298942e-05,6.342707157649368e-05,0.9972893726025012,nci
